Wavelength	c:/Users/Public/Halo/Exports/OtherFormats/Hynek_Natron_Set4/30174_HaloDefaultProject_HaloStandard-New Location 8-S_30174_0013.txt
703	 4.97207567095757E-02 
704	 4.99277263879776E-02 
705	 0.050123181194067 
706	 0.050289798527956 
707	 5.05164489150047E-02 
708	 5.07198832929134E-02 
709	 5.09283691644669E-02 
710	 5.11215813457966E-02 
711	 5.13478815555573E-02 
712	 5.15875443816185E-02 
713	 5.17972782254219E-02 
714	 5.20240105688572E-02 
715	 0.052288830280304 
716	 5.25469072163105E-02 
717	 5.27827553451061E-02 
718	 5.30298464000225E-02 
719	 5.32754510641098E-02 
720	 5.35355992615223E-02 
721	 5.37789165973663E-02 
722	 5.40034510195255E-02 
723	 5.42983673512936E-02 
724	 5.45749254524708E-02 
725	 5.48654645681381E-02 
726	 5.51711358129978E-02 
727	 5.54819442331791E-02 
728	 5.57637326419353E-02 
729	 5.60654997825623E-02 
730	 5.63917756080627E-02 
731	 0.056682825088501 
732	 5.69828040897846E-02 
733	 5.73044046759605E-02 
734	 5.76707608997822E-02 
735	 0.058027345687151 
736	 5.83776533603668E-02 
737	 5.87288439273834E-02 
738	 5.91194778680801E-02 
739	 5.94985149800777E-02 
740	 5.98806589841843E-02 
741	 6.02855235338211E-02 
742	 6.07169233262539E-02 
743	 6.11645095050335E-02 
744	 6.15981109440327E-02 
745	 6.20171613991261E-02 
746	 6.25158548355103E-02 
747	 6.30166754126549E-02 
748	 6.34487271308899E-02 
749	 6.39065206050873E-02 
750	 6.43979534506798E-02 
751	 6.49207755923271E-02 
752	 6.54480904340744E-02 
753	 6.59633949398994E-02 
754	 6.65050372481346E-02 
755	 6.70806765556335E-02 
756	 6.76554217934608E-02 
757	 6.82239085435867E-02 
758	 0.068817026913166 
759	 6.94581866264343E-02 
760	 7.01090916991234E-02 
761	 7.07374662160873E-02 
762	 7.14038461446762E-02 
763	 0.072132870554924 
764	 7.28063732385635E-02 
765	 7.35245868563652E-02 
766	 7.43048265576363E-02 
767	 7.50455036759377E-02 
768	 7.57745653390884E-02 
769	 7.65394121408463E-02 
770	 7.73788616061211E-02 
771	 7.81573131680489E-02 
772	 7.90317431092262E-02 
773	 7.99059867858887E-02 
774	 8.07681232690811E-02 
775	 8.16803798079491E-02 
776	 0.082628533244133 
777	 8.36011096835136E-02 
778	 8.45701694488525E-02 
779	 8.55641290545464E-02 
780	 8.66187661886215E-02 
781	 8.76713916659355E-02 
782	 0.088728554546833 
783	 8.98519679903984E-02 
